measurement_id,electrode,x_position,y_position,z_position,measurement_duration
IMG_3845,E14,-20.8838,-98.4504,8.0731,
IMG_3845,E15,-45.8048,-73.7344,44.5418,
IMG_3845,E16,-70.707,-41.1396,35.7004,
IMG_3845,E17,-77.4685,-33.4691,-33.5118,
IMG_3845,E18,-58.0409,-15.455,73.6504,
IMG_3845,E19,-30.0795,-52.4618,86.946,
IMG_3845,E20,-81.5906,-0.6936,15.3653,
IMG_3845,E21,-29.5938,20.0749,95.2708,
IMG_3845,E22,-67.9258,46.1287,22.4444,
IMG_3846,NAS,0.9986,93.3133,-6.2494,
IMG_3846,LPA,-80.25,-0.0,0.0,
IMG_3846,RPA,80.25,0.0,-0.0,
IMG_3846,INION,0.0,-98.837,-6.2494,
IMG_3846,E0,27.3916,92.7358,28.6236,
IMG_3846,E1,-32.8635,87.5728,28.6099,
IMG_3846,E2,66.9688,53.038,23.4648,
IMG_3846,E3,30.4978,20.0259,93.9565,
IMG_3846,E4,59.9316,-12.4126,72.8618,
IMG_3846,E5,78.4285,-0.1293,14.3293,
IMG_3846,E6,70.863,-37.6331,35.2861,
IMG_3846,E7,73.2157,-28.3237,-37.972,
IMG_3846,E8,46.8635,-69.7192,43.6849,
IMG_3846,E9,35.0251,-49.1968,83.0798,
IMG_3846,E10,26.8522,-85.2362,-3.3029,
IMG_3846,E11,2.8831,-47.6143,91.1321,
IMG_3846,E12,1.7808,-75.8658,66.7295,
IMG_3846,E13,-28.8629,-49.1939,84.4299,
IMG_3846,E14,-44.9245,-71.1452,41.7387,
IMG_3846,E15,-27.3128,-86.3457,-3.1349,
IMG_3846,E16,-69.9755,-39.0316,37.3624,
IMG_3846,E17,-80.5463,-30.6363,-24.254,
IMG_3846,E18,-55.9818,-16.5693,73.1973,
IMG_3846,E19,-28.9952,17.3663,91.2688,
IMG_3846,E20,-0.1211,50.3439,86.6598,
IMG_3846,E21,-65.6501,45.8247,19.2904,
IMG_3846,E22,-80.6318,-2.2555,18.7617,
IMG_3847,NAS,1.3943,92.7037,-6.2492,
IMG_3847,LPA,-80.25,-0.0,-0.0,
IMG_3847,RPA,80.25,-0.0,-0.0,
IMG_3847,INION,0.0,-98.2025,-6.2492,
IMG_3847,E0,28.4983,92.1472,33.6207,
IMG_3847,E1,-31.5562,88.1501,29.6064,
IMG_3847,E2,-67.0676,47.7412,19.9526,
IMG_3847,E3,-80.4571,-2.1976,12.4751,
IMG_3847,E4,-77.4514,-24.7368,-35.2565,
IMG_3847,E5,-70.3978,-40.2048,32.1513,
IMG_3847,E6,-59.902,-16.6746,69.6515,
IMG_3847,E7,-48.9753,-71.1693,38.6223,
IMG_3847,E8,-33.2315,-50.2244,82.7749,
IMG_3847,E9,-2.7149,-49.7154,87.9527,
IMG_3847,E10,-2.0251,-77.4164,62.5842,
IMG_3847,E11,-29.6618,-86.1871,-8.516,
IMG_3847,E12,-2.7175,-16.1602,98.1366,
IMG_3847,E13,25.7238,-84.4392,-3.4638,
IMG_3847,E14,30.7178,-50.8096,82.5254,
IMG_3847,E15,44.7785,-69.4667,42.4884,
IMG_3847,E16,70.754,-38.1025,35.7737,
IMG_3847,E17,73.056,-28.2167,-36.1192,
IMG_3847,E18,57.8883,-11.8534,73.6192,
IMG_3847,E19,78.9178,2.2687,18.9457,
IMG_3847,E20,68.7021,51.1599,27.4077,
IMG_3847,E21,29.8033,17.2985,95.2164,
IMG_3847,E22,-32.4174,14.0036,92.6129,
IMG_3848,NAS,-0.6128,94.9361,-6.2499,
IMG_3848,LPA,-80.25,-0.0,0.0,
IMG_3848,RPA,80.25,0.0,-0.0,
IMG_3848,INION,0.0,-100.5264,-6.2499,
IMG_3848,E0,28.3426,94.8726,33.9618,
IMG_3848,E1,-34.3762,91.0851,33.6761,
IMG_3848,E2,67.4365,53.4023,25.7759,
IMG_3848,E3,80.985,1.4338,17.2124,
IMG_3848,E4,60.5926,-13.3297,75.9263,
IMG_3848,E5,64.8708,-29.3805,-51.8425,
IMG_3848,E6,70.6735,-40.3057,34.7746,
IMG_3848,E7,31.9919,17.4327,98.2806,
IMG_3848,E8,33.8794,-53.8694,86.9011,
IMG_3848,E9,49.3452,-73.0677,45.3329,
IMG_3848,E10,24.5011,-88.0149,-5.1828,
IMG_3848,E11,3.6118,-80.2018,67.4605,
IMG_3848,E12,5.6268,-53.1699,93.9811,
IMG_3848,E13,4.5475,-16.5813,104.9325,
IMG_3848,E14,-31.2607,-53.9902,87.0357,
IMG_3848,E15,-29.6089,-90.1485,-2.8315,
IMG_3848,E16,-49.4583,-75.3961,43.9421,
IMG_3848,E17,-63.2954,-15.8721,72.3809,
IMG_3848,E18,-75.7596,-39.3612,36.9614,
IMG_3848,E19,-81.7806,-0.2153,16.7524,
IMG_3848,E20,-61.7541,-30.2197,-74.6009,
IMG_3848,E21,-30.9755,16.5746,96.1606,
IMG_3848,E22,-68.7384,49.5818,25.7533,
IMG_3849,NAS,2.9334,94.2635,-6.2497,
IMG_3849,LPA,-80.25,0.0,0.0,
IMG_3849,RPA,80.25,0.0,0.0,
IMG_3849,INION,-0.0,-99.8261,-6.2497,
IMG_3849,E0,-30.9907,89.6555,31.3389,
IMG_3849,E1,31.2068,92.6332,33.5303,
IMG_3849,E2,-68.0809,47.6628,22.6032,
IMG_3849,E3,-81.1656,-0.55,13.6811,
IMG_3849,E4,-72.9247,-27.4556,-40.9467,
IMG_3849,E5,-60.3544,-18.553,72.433,
IMG_3849,E6,-32.7026,15.2636,94.083,
IMG_3849,E7,-72.511,-39.5785,35.0093,
IMG_3849,E8,-34.4342,-52.0665,83.7686,
IMG_3849,E9,-0.5165,49.1441,89.4787,
IMG_3849,E10,-0.1833,-22.1037,101.0594,
IMG_3849,E11,-0.8065,-48.182,90.4976,
IMG_3849,E12,-2.9447,-76.9777,65.2152,
IMG_3849,E13,-49.2184,-68.7373,42.5221,
IMG_3849,E14,-31.2648,-87.8363,-3.4891,
IMG_3849,E15,24.9526,-86.6808,-3.959,
IMG_3849,E16,45.953,-71.5546,42.6405,
IMG_3849,E17,31.8085,-52.9033,82.7295,
IMG_3849,E18,69.315,-40.5648,33.1632,
IMG_3849,E19,74.726,-31.3764,-35.1172,
IMG_3849,E20,57.6104,-13.4283,75.9805,
IMG_3849,E21,29.1349,16.6077,95.2629,
IMG_3849,E22,81.1186,1.6255,18.1252,
IMG_3849,E23,69.7752,52.7428,27.6254,
IMG_3851,NAS,3.3461,93.616,-6.2495,
IMG_3851,LPA,-80.25,-0.0,-0.0,
IMG_3851,RPA,80.25,-0.0,-0.0,
IMG_3851,INION,0.0,-99.1521,-6.2495,
IMG_3851,E0,-66.823,50.3574,20.0045,
IMG_3851,E1,-80.4395,0.1237,13.9315,
IMG_3851,E2,-75.6046,-26.6518,-40.5226,
IMG_3851,E3,-72.1892,-40.1967,35.2524,
IMG_3851,E4,-59.5513,-16.121,74.6074,
IMG_3851,E5,-29.1859,16.9883,96.1369,
IMG_3851,E6,2.0416,50.5245,88.4554,
IMG_3851,E7,-28.7622,92.5708,30.1784,
IMG_3851,E8,-29.2398,-52.953,86.3943,
IMG_3851,E9,-46.2937,-74.3857,45.1757,
IMG_3851,E10,-26.9602,-92.8218,-2.1675,
IMG_3851,E11,2.1895,-83.276,66.8839,
IMG_3851,E12,3.0653,-53.5334,93.2574,
IMG_3851,E13,26.9295,-94.3189,-1.6564,
IMG_3851,E14,33.4386,-57.8527,86.655,
IMG_3851,E15,45.7757,-78.6751,46.8079,
IMG_3851,E16,73.9744,-40.3433,-34.5795,
IMG_3851,E17,71.9172,-43.1222,37.1578,
IMG_3851,E18,61.1984,-16.8709,76.8457,
IMG_3851,E20,31.5301,17.6805,97.5644,
IMG_3851,E21,70.2557,52.5404,26.4415,
IMG_3851,E23,81.1954,2.1301,19.0746,
IMG_3851,E24,31.8617,96.8271,34.3965,
IMG_3854,NAS,2.4785,94.8082,-6.2498,
IMG_3854,LPA,-80.25,-0.0,-0.0,
IMG_3854,RPA,80.25,0.0,0.0,
IMG_3854,INION,-0.0,-100.3932,-6.2498,
IMG_3854,E0,30.2195,94.4992,34.2303,
