epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,23687.5,1.27846,0.53783,1.01519,0.90934,0.8303,0.9092,0.44787,1.84558,0.69621,1.2491,0.0011882,0.0011882,0.0011882
43,24168.8,1.25774,0.53256,0.99147,0.90676,0.81818,0.89666,0.45171,1.82821,0.67706,1.24142,0.0011684,0.0011684,0.0011684
44,24647.7,1.24063,0.53451,0.99629,0.95032,0.8115,0.90525,0.4505,1.83925,0.6947,1.26377,0.0011486,0.0011486,0.0011486
45,25129.2,1.28171,0.54317,1.01427,0.92649,0.84242,0.91876,0.46879,1.76951,0.67222,1.22969,0.0011288,0.0011288,0.0011288
46,25611.7,1.25851,0.52806,0.99782,0.9424,0.82424,0.90534,0.4447,1.83566,0.68811,1.24709,0.001109,0.001109,0.001109
47,26100.4,1.23211,0.52554,0.9915,0.96742,0.80606,0.90357,0.42795,1.89825,0.70698,1.30616,0.0010892,0.0010892,0.0010892
48,26589.1,1.2283,0.51681,0.98092,0.92686,0.84489,0.90493,0.43329,1.89546,0.70101,1.28074,0.0010694,0.0010694,0.0010694
49,27067.3,1.17656,0.50754,0.97953,0.92899,0.82424,0.88733,0.43266,1.94063,0.71619,1.30659,0.0010496,0.0010496,0.0010496
50,27545.9,1.16338,0.50381,0.97518,0.93564,0.82424,0.89785,0.40748,1.98584,0.70955,1.33955,0.0010298,0.0010298,0.0010298
51,28025.5,1.2116,0.5145,0.98529,0.9401,0.81818,0.90051,0.41126,1.95164,0.69255,1.3202,0.00101,0.00101,0.00101
52,28507.5,1.14465,0.4925,0.98324,0.90859,0.84335,0.89882,0.43447,1.90177,0.6908,1.29631,0.0009902,0.0009902,0.0009902
53,28986.8,1.1818,0.50064,0.97536,0.90659,0.82354,0.88762,0.43378,1.90465,0.68943,1.29023,0.0009704,0.0009704,0.0009704
54,29468.2,1.13338,0.49091,0.97163,0.93827,0.84242,0.91243,0.44122,1.8649,0.70132,1.28487,0.0009506,0.0009506,0.0009506
55,29950.8,1.16528,0.49649,0.97253,0.92706,0.84731,0.90696,0.45376,1.83221,0.67036,1.27014,0.0009308,0.0009308,0.0009308
56,30433.2,1.17041,0.50374,0.97285,0.93323,0.84706,0.9222,0.46262,1.83657,0.6628,1.27175,0.000911,0.000911,0.000911
57,30913.4,1.14301,0.49218,0.96451,0.94996,0.81818,0.89951,0.4256,1.98233,0.71484,1.35389,0.0008912,0.0008912,0.0008912
58,31394,1.13123,0.49095,0.96078,0.92144,0.84242,0.90757,0.44738,1.86545,0.6688,1.2883,0.0008714,0.0008714,0.0008714
59,31871.6,1.12784,0.48861,0.97772,0.93601,0.80606,0.87741,0.41948,1.93373,0.67559,1.30375,0.0008516,0.0008516,0.0008516
60,32353.4,1.12802,0.48222,0.97147,0.96472,0.82854,0.91524,0.45197,1.82489,0.67891,1.26926,0.0008318,0.0008318,0.0008318
61,32833.4,1.13495,0.48767,0.95326,0.9476,0.81212,0.90129,0.43259,1.89075,0.69622,1.29519,0.000812,0.000812,0.000812
62,33316.4,1.10813,0.47676,0.94522,0.92976,0.85455,0.91089,0.43554,1.86298,0.67153,1.29255,0.0007922,0.0007922,0.0007922
63,33808.5,1.07957,0.46366,0.94261,0.88458,0.83609,0.88863,0.42615,1.91269,0.69046,1.30084,0.0007724,0.0007724,0.0007724
64,34286.7,1.08415,0.46872,0.95113,0.89976,0.87039,0.91046,0.4516,1.82844,0.6579,1.27978,0.0007526,0.0007526,0.0007526
65,34786.9,1.06096,0.4572,0.93958,0.89707,0.8303,0.9061,0.44526,1.8601,0.67292,1.27531,0.0007328,0.0007328,0.0007328
66,35283.2,1.07153,0.45663,0.95273,0.9377,0.82106,0.90947,0.43531,1.90164,0.67306,1.32063,0.000713,0.000713,0.000713
67,35791.9,1.07618,0.45501,0.93833,0.92695,0.83636,0.90639,0.43604,1.93179,0.66517,1.3226,0.0006932,0.0006932,0.0006932
68,36293.7,1.06328,0.4507,0.93976,0.9475,0.79394,0.88042,0.3879,2.07158,0.70283,1.41544,0.0006734,0.0006734,0.0006734
69,36795.7,1.05067,0.45369,0.92796,0.92084,0.82424,0.8904,0.40199,2.02291,0.69607,1.36662,0.0006536,0.0006536,0.0006536
70,37296.9,1.00139,0.43909,0.92293,0.90193,0.83607,0.88326,0.4115,1.97809,0.68495,1.3591,0.0006338,0.0006338,0.0006338
71,37796.9,1.00347,0.44451,0.92709,0.94482,0.83024,0.8926,0.41369,1.98874,0.69215,1.36323,0.000614,0.000614,0.000614
72,38294.8,0.9901,0.43087,0.92417,0.9257,0.83056,0.88155,0.40885,2.00889,0.69666,1.3762,0.0005942,0.0005942,0.0005942
73,38791.2,1.00832,0.43918,0.92058,0.95954,0.81818,0.89987,0.41456,1.9859,0.70751,1.36288,0.0005744,0.0005744,0.0005744
74,39287.4,0.97739,0.42705,0.90974,0.91873,0.84848,0.90345,0.41096,2.01493,0.70817,1.38601,0.0005546,0.0005546,0.0005546
75,39793.6,0.99267,0.43449,0.91814,0.95607,0.8303,0.90649,0.43084,1.90392,0.65178,1.33252,0.0005348,0.0005348,0.0005348
76,40292.1,0.97351,0.42471,0.91925,0.91934,0.86061,0.908,0.41135,1.97572,0.68712,1.37187,0.000515,0.000515,0.000515
77,40806.9,0.98557,0.42452,0.92259,0.94289,0.83636,0.91002,0.4196,1.96183,0.69391,1.36853,0.0004952,0.0004952,0.0004952
78,41309.1,0.95613,0.41812,0.90418,0.9465,0.85782,0.91689,0.42634,1.92478,0.68373,1.34122,0.0004754,0.0004754,0.0004754
79,41803.7,0.95298,0.41953,0.91228,0.90514,0.87273,0.90594,0.41181,1.97266,0.67988,1.36802,0.0004556,0.0004556,0.0004556
80,42292.4,0.95594,0.4242,0.91097,0.93237,0.83636,0.89647,0.41084,1.96137,0.69106,1.36364,0.0004358,0.0004358,0.0004358
